observation_date,MARTSMPCSM44X72USS_20190214,MARTSMPCSM44X72USS_20190311,MARTSMPCSM44X72USS_20190401,MARTSMPCSM44X72USS_20190418,MARTSMPCSM44X72USS_20190515,MARTSMPCSM44X72USS_20190614,MARTSMPCSM44X72USS_20190716,MARTSMPCSM44X72USS_20190815,MARTSMPCSM44X72USS_20190913,MARTSMPCSM44X72USS_20191016,MARTSMPCSM44X72USS_20191115,MARTSMPCSM44X72USS_20191213,MARTSMPCSM44X72USS_20200116,MARTSMPCSM44X72USS_20200214,MARTSMPCSM44X72USS_20200317,MARTSMPCSM44X72USS_20200415,MARTSMPCSM44X72USS_20200515,MARTSMPCSM44X72USS_20200616,MARTSMPCSM44X72USS_20200716,MARTSMPCSM44X72USS_20200814,MARTSMPCSM44X72USS_20200916,MARTSMPCSM44X72USS_20201016,MARTSMPCSM44X72USS_20201117,MARTSMPCSM44X72USS_20201216,MARTSMPCSM44X72USS_20210115,MARTSMPCSM44X72USS_20210217,MARTSMPCSM44X72USS_20210316,MARTSMPCSM44X72USS_20210415,MARTSMPCSM44X72USS_20210426,MARTSMPCSM44X72USS_20210514,MARTSMPCSM44X72USS_20210615,MARTSMPCSM44X72USS_20210716,MARTSMPCSM44X72USS_20210817,MARTSMPCSM44X72USS_20210916,MARTSMPCSM44X72USS_20211015,MARTSMPCSM44X72USS_20211116,MARTSMPCSM44X72USS_20211215,MARTSMPCSM44X72USS_20220114,MARTSMPCSM44X72USS_20220216,MARTSMPCSM44X72USS_20220316,MARTSMPCSM44X72USS_20220414,MARTSMPCSM44X72USS_20220425,MARTSMPCSM44X72USS_20220517,MARTSMPCSM44X72USS_20220615,MARTSMPCSM44X72USS_20220715,MARTSMPCSM44X72USS_20220817,MARTSMPCSM44X72USS_20220915,MARTSMPCSM44X72USS_20221014,MARTSMPCSM44X72USS_20221116,MARTSMPCSM44X72USS_20221215,MARTSMPCSM44X72USS_20230118,MARTSMPCSM44X72USS_20230215,MARTSMPCSM44X72USS_20230315,MARTSMPCSM44X72USS_20230414,MARTSMPCSM44X72USS_20230424,MARTSMPCSM44X72USS_20230516,MARTSMPCSM44X72USS_20230615,MARTSMPCSM44X72USS_20230718,MARTSMPCSM44X72USS_20230815,MARTSMPCSM44X72USS_20230914,MARTSMPCSM44X72USS_20231017,MARTSMPCSM44X72USS_20231115,MARTSMPCSM44X72USS_20231214,RSBMGESD,RSCCAS,RSDBS,RSEAS,RSFHFS,RSFSDP,RSFSXMV,RSGASS,RSGCS,RSMVPD,RSNSR,RSXFS
2020-03-01,,,,,,,,,,,,,,,,-8.7,-8.3,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,-8.2,-8.4,-8.3,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.6,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-8.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,31953,11435,81748,6005,7977,48480,401728,35024,74168,75948,70307,429196
2020-04-01,,,,,,,,,,,,,,,,,-16.4,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-14.8,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-14.7,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-15.2,-14.6,-14.6,-14.6,-14.6,-14.6,-14.6,-14.6,-14.6,-14.6,31734,2885,70991,3364,3971,31394,342849,27076,64097,65463,78380,376918
2020-05-01,,,,,,,,,,,,,,,,,,17.7,18.2,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.1,18.1,18.1,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,36132,8345,72203,4137,7159,41252,386584,30045,64573,98394,84367,443726
2020-06-01,,,,,,,,,,,,,,,,,,,7.5,8.4,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.8,8.8,8.9,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,36468,17254,70807,5834,9917,53159,420143,33866,63140,106827,83680,473811
2020-07-01,,,,,,,,,,,,,,,,,,,,1.2,0.9,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,35941,17984,71251,6652,10230,55528,429142,35471,63546,106502,85221,480116
2020-08-01,,,,,,,,,,,,,,,,,,,,,0.6,0.6,1.4,1.4,1.4,1.4,1.4,1.4,0.8,0.8,0.8,0.8,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36389,18300,70182,6754,10736,58180,433213,36328,62387,107210,87449,482243
2020-09-01,,,,,,,,,,,,,,,,,,,,,,1.9,1.6,1.7,1.7,1.7,1.7,1.7,2.0,2.0,2.0,2.0,2.0,2.2,2.0,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,36819,20719,70133,6565,10798,59745,440259,36584,62303,110872,87335,491386
2020-10-01,,,,,,,,,,,,,,,,,,,,,,,0.3,-0.1,-0.1,-0.1,-0.1,-0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,36278,20229,69628,6998,10666,59566,438994,36510,61887,110277,88301,489705
2020-11-01,,,,,,,,,,,,,,,,,,,,,,,,-1.1,-1.4,-1.3,-1.3,-1.3,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.1,-1.4,-1.5,-1.5,-1.5,-1.5,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,36532,19275,70535,6730,10452,57134,435206,35533,62798,109215,89028,487287
2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-1.0,-1.3,-1.3,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.0,-0.8,-0.7,-0.7,-0.7,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36471,20072,70450,6471,10657,53767,437961,38879,62749,111339,90106,495533
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,7.6,7.7,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.2,7.2,7.2,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,38691,20888,71487,7286,11790,58817,456234,40944,63472,114276,90483,511693
2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,-2.7,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9,-2.7,-2.8,-2.6,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,36956,19869,71740,6982,11152,57289,444792,41744,63821,110697,87714,498200
2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,9.7,10.7,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.4,11.1,11.3,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,42276,24261,72199,8190,11949,65385,485780,46437,64006,130568,93564,550963
2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,42189,24274,72826,8255,12005,68285,488795,45214,64604,133910,93681,554420
2021-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,-1.7,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,40385,24875,73368,8088,11822,70254,485306,45585,65195,130237,91282,545289
2021-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.1,1.1,0.7,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39911,25868,74046,8410,11706,73432,495623,46655,65814,126502,94583,548693
