observation_date,MARTSMPCSM44X72USS_20190214,MARTSMPCSM44X72USS_20190311,MARTSMPCSM44X72USS_20190401,MARTSMPCSM44X72USS_20190418,MARTSMPCSM44X72USS_20190515,MARTSMPCSM44X72USS_20190614,MARTSMPCSM44X72USS_20190716,MARTSMPCSM44X72USS_20190815,MARTSMPCSM44X72USS_20190913,MARTSMPCSM44X72USS_20191016,MARTSMPCSM44X72USS_20191115,MARTSMPCSM44X72USS_20191213,MARTSMPCSM44X72USS_20200116,MARTSMPCSM44X72USS_20200214,MARTSMPCSM44X72USS_20200317,MARTSMPCSM44X72USS_20200415,MARTSMPCSM44X72USS_20200515,MARTSMPCSM44X72USS_20200616,MARTSMPCSM44X72USS_20200716,MARTSMPCSM44X72USS_20200814,MARTSMPCSM44X72USS_20200916,MARTSMPCSM44X72USS_20201016,MARTSMPCSM44X72USS_20201117,MARTSMPCSM44X72USS_20201216,MARTSMPCSM44X72USS_20210115,MARTSMPCSM44X72USS_20210217,MARTSMPCSM44X72USS_20210316,MARTSMPCSM44X72USS_20210415,MARTSMPCSM44X72USS_20210426,MARTSMPCSM44X72USS_20210514,MARTSMPCSM44X72USS_20210615,MARTSMPCSM44X72USS_20210716,MARTSMPCSM44X72USS_20210817,MARTSMPCSM44X72USS_20210916,MARTSMPCSM44X72USS_20211015,MARTSMPCSM44X72USS_20211116,MARTSMPCSM44X72USS_20211215,MARTSMPCSM44X72USS_20220114,MARTSMPCSM44X72USS_20220216,MARTSMPCSM44X72USS_20220316,MARTSMPCSM44X72USS_20220414,MARTSMPCSM44X72USS_20220425,MARTSMPCSM44X72USS_20220517,MARTSMPCSM44X72USS_20220615,MARTSMPCSM44X72USS_20220715,MARTSMPCSM44X72USS_20220817,MARTSMPCSM44X72USS_20220915,MARTSMPCSM44X72USS_20221014,MARTSMPCSM44X72USS_20221116,MARTSMPCSM44X72USS_20221215,MARTSMPCSM44X72USS_20230118,MARTSMPCSM44X72USS_20230215,MARTSMPCSM44X72USS_20230315,MARTSMPCSM44X72USS_20230414,MARTSMPCSM44X72USS_20230424,MARTSMPCSM44X72USS_20230516,MARTSMPCSM44X72USS_20230615,MARTSMPCSM44X72USS_20230718,MARTSMPCSM44X72USS_20230815,MARTSMPCSM44X72USS_20230914,MARTSMPCSM44X72USS_20231017,MARTSMPCSM44X72USS_20231115,MARTSMPCSM44X72USS_20231214,MARTSMPCSM44X72USS,RSBMGESD,RSCCAS,RSDBS,RSEAS,RSFHFS,RSFSDP,RSFSXMV,RSGASS,RSGCS,RSMVPD,RSNSR,RSXFS
2022-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.1,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,42543,25379,79299,8056,12206,81758,545667,66679,71182,125373,101939,589282
2022-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.5,0.7,0.8,0.8,0.8,0.8,0.8,0.7,42581,25565,79908,7864,11989,82342,550125,67937,71725,125577,102301,593360
2022-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.5,-0.5,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,42692,24969,79859,7984,11914,82028,547617,66021,71705,123450,103264,589039
2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.6,43154,25259,80268,7895,12066,84120,548150,61054,71934,126957,104535,590987
2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-0.2,-0.2,-0.2,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.3,-0.3,-0.3,42924,25552,80777,7835,11927,84418,547395,58395,72470,125917,105118,588894
2022-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.3,1.1,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.4,1.5,1.3,43297,25599,81592,7800,12218,85909,553149,60478,73214,128599,105990,595839
2022-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,-1.0,-1.1,-1.1,-1.1,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.4,-1.5,-1.2,41994,25384,81795,7176,11808,85365,547867,59627,73438,125807,104600,588309
2022-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,-1.1,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,-1.0,42275,24916,81576,7087,11503,84985,544358,56526,73347,122376,106279,581749
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.2,3.1,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,4.1,43082,26045,81347,8032,12964,90330,560045,56394,72793,133781,108861,603496
2023-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,-0.2,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-1.1,42685,25559,81935,7723,12159,88160,555928,55233,73572,130506,109584,598274
