DATE,ECOMSA
1999-10-01,4476.0
2000-01-01,5691.0
2000-04-01,6465.0
2000-07-01,7419.0
2000-10-01,7840.0
2001-01-01,8135.0
2001-04-01,8336.0
2001-07-01,8335.0
2001-10-01,9314.0
2002-01-01,9904.0
2002-04-01,10742.0
2002-07-01,11543.0
2002-10-01,12231.0
2003-01-01,12738.0
2003-04-01,13773.0
2003-07-01,14833.0
2003-10-01,15588.0
2004-01-01,16697.0
2004-04-01,17519.0
2004-07-01,18506.0
2004-10-01,19631.0
2005-01-01,20801.0
2005-04-01,22233.0
2005-07-01,23653.0
2005-10-01,24364.0
2006-01-01,26417.0
2006-04-01,27367.0
2006-07-01,28842.0
2006-10-01,30138.0
2007-01-01,31728.0
2007-04-01,33524.0
2007-07-01,34841.0
2007-10-01,35784.0
2008-01-01,36014.0
2008-04-01,36512.0
2008-07-01,36292.0
2008-10-01,33050.0
2009-01-01,34127.0
2009-04-01,35279.0
2009-07-01,37400.0
2009-10-01,38111.0
2010-01-01,39284.0
2010-04-01,41301.0
2010-07-01,43472.0
2010-10-01,45074.0
2011-01-01,47036.0
2011-04-01,48849.0
2011-07-01,50186.0
2011-10-01,53188.0
2012-01-01,55286.0
2012-04-01,56562.0
2012-07-01,58552.0
2012-10-01,60838.0
2013-01-01,62257.0
2013-04-01,64020.0
2013-07-01,65928.0
2013-10-01,68343.0
2014-01-01,70253.0
2014-04-01,73272.0
2014-07-01,75739.0
2014-10-01,77707.0
2015-01-01,80223.0
2015-04-01,82848.0
2015-07-01,85775.0
2015-10-01,88437.0
2016-01-01,91394.0
2016-04-01,94320.0
2016-07-01,97406.0
2016-10-01,100362.0
2017-01-01,104572.0
2017-04-01,108452.0
2017-07-01,112022.0
2017-10-01,117309.0
2018-01-01,121728.0
2018-04-01,125311.0
2018-07-01,128056.0
2018-10-01,131610.0
2019-01-01,132435.0
2019-04-01,137954.0
2019-07-01,146362.0
2019-10-01,152673.0
2020-01-01,159268.0
2020-04-01,211804.0
2020-07-01,215476.0
2020-10-01,220552.0
2021-01-01,231650.0
2021-04-01,239897.0
2021-07-01,235241.0
2021-10-01,243755.0
2022-01-01,247609.0
2022-04-01,251463.0
2022-07-01,255583.0
2022-10-01,257560.0
2023-01-01,266314.0
2023-04-01,273354.0
2023-07-01,279508.0
2023-10-01,283293.0
2024-01-01,287855.0
2024-04-01,292567.0
2024-07-01,300053.0
